iter	Passed	Remaining
0	0	92
1	1	88
2	2	84
3	3	78
4	4	78
5	5	79
6	5	79
7	6	79
8	7	79
9	8	78
10	9	77
11	10	77
12	11	76
13	12	75
14	13	74
15	13	72
16	14	72
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	20	67
23	21	66
24	21	65
25	22	64
26	23	64
27	24	62
28	25	62
29	26	61
30	27	60
31	28	59
32	29	58
33	29	57
34	30	57
35	31	56
36	32	54
37	33	53
38	33	53
39	34	52
40	35	51
41	36	49
42	37	49
43	38	48
44	38	47
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
